word,standard_parses,modified_parses
солло,сор<n><abs.sg><conj>,сор<n><abs.sg><conj>
къгамкъгало,къгамкъга<n><abs.sg><conj>,къгамкъга<n><abs.sg><conj>
чІаккъгварало,чІакъгвара<n><abs.sg><conj>,чІакъгвара<n><abs.sg><conj>
бикІодду,<cl><sg>кІуду<verb><pf>,бикІуду<verb><pf>
Рабзур,Рабзу<n><obl.sg><cl><gen>,Рабзу<n><obl.sg><cl><gen>
хуру,хур<n><obl.sg><in>,хур<n><obl.sg><in>
себ,се<num><cl>,се<num><cl>
кьетІур,кьетІур<n><abs.sg>,кьетІур<n><abs.sg>
кьетІурола,кьетІур<n><obl.sg><sup.ess>,кьетІур<n><obl.sg><sup.ess>
бикІодду,<cl><sg>кІуду<verb><pf>,бикІуду<verb><pf>
къгамкъгулІи,къгамкъга<n><obl.sg><gen>,къгамкъга<n><obl.sg><gen>
бошенно,бешен<n><abs.sg><conj>,бешен<n><abs.sg><conj>
во,во<conj>,во<conj>
гьелълъу,гъеб<demonstrative>,гъеб<demonstrative>
лъобгу,лъоб<num><card>,лъоб<num><card>
бошило,боши<n><abs.sg><conj>,боши<n><abs.sg><conj>
гьер,гье<demonstrative><cl>,гье<demonstrative><cl>
хурукку,хур<n><obl.sg><in><el>,хур<n><obl.sg><in><el>
сер,се<num><cl>,се<num><cl>
зубу,зубу<n><abs.sg>,зубу<n><abs.sg>
бикІодду,<cl><sg>кІуду<verb><pf>,бикІуду<verb><pf>
булинно,<cl><sg>линну<verb><hab>,булинну<verb><hab>
сор,сор<n><abs.sg>,сор<n><abs.sg>
бошилло,боши<n><abs.pl><conj>,боши<n><abs.pl><conj>
гьакъгодду,гьакъиду<verb><cvb.pst>,гьакъиду<verb><cvb.pst>
сор,сор<n><abs.sg>,сор<n><abs.sg>
балидду,<cl>алиду<verb><pf>,балиду<verb><pf>
къгамкъгуло,къгамкъга<n><unk>,къгамкъга<n><unk>
гьор,гьо<demonstrative><cl>,гьо<demonstrative><cl>
хулло,хур<n><abs.sg><conj>,хур<n><abs.sg><conj>
дир,ди<pronoun><cl><gen>,ди<pronoun><cl><gen>
хурусси,хурусси<adj>,хурусси<adj>
кьетІулло,кьетІур<n><abs.sg><conj>,кьетІур<n><abs.sg><conj>
диб,ди<pronoun><cl><gen>,ди<pronoun><cl><gen>
кьетІулле,кьетІур<n><abs.sg><prt>,кьетІур<n><abs.sg><prt>
букьидйа,<cl><sg>къиду<verb><fut>,букъиду<verb><fut>
бошилле,боши<n><abs.pl><prt>,боши<n><abs.pl><prt>
кІолли ,кІол<n><obl.sg><in.lat>,кІол<n><obl.sg><in.lat>
щарйагъодду,щару<verb><fut><evid>,щару<verb><fut><evid>
кьетІулло,кьетІур<n><abs.sg><conj>,кьетІур<n><abs.sg><conj>
букъидду,<cl><sg>къиду<verb><cvb.pst>,букъиду<verb><cvb.pst>
бешен,бешен<n><abs.sg>,бешен<n><abs.sg>
биххолъичІигу,<cl>иххолъиду<verb><cvb.pst.neg>,биххолъиду<verb><cvb.pst.neg>
къгамкъгуди,къгамкъга<n><obl.sg><erg>,къгамкъга<n><obl.sg><erg>
себ-себхъи,се<num><cl><loc>,се<num><cl><loc>
энлІигу,эн<pronoun><gen><prt>,эн<pronoun><gen><prt>
лъобгуло,лъоб<num><card><conj>,лъоб<num><card><conj>
боши,боши<n><abs.sg>,боши<n><abs.sg>
